,Count,passedtime subset | Freq. of Parent (%),passedtime subset/1 | Freq. of Parent (%),passedtime subset/2 | Freq. of Parent (%),passedtime subset/3 | Freq. of Parent (%),
flowmop_A31_6535_segment.fcs,1.50E6,59.3,100,0,0,
flowmop_A051_2080_segment.fcs,7.04E5,67.6,0,100,0,
flowmop_B053_2080_bimix.fcs,1.14E6,70.2,4.35E?3,100.0,0,
flowmop_B053_2080_segment.fcs,1.05E6,70.5,0,100,0,
flowmop_B0513_202060_trimix.fcs,1.05E6,97.6,18.6,19.9,61.5,
flowmop_B3051_404020_trimix.fcs,5.72E5,94.2,39.1,42.4,18.5,
flowmop_C31_5050_bimix.fcs,1.32E6,98.8,50.1,49.9,0,
flowmop_C31_5050_segment.fcs,1.21E6,97.2,51.4,48.6,0,
flowmop_C051_5050_bimix.fcs,4.70E5,90.5,54.6,45.4,0,
flowmop_C051_5050_segment.fcs,4.70E5,96.6,50.9,49.1,0,
flowmop_C053_5050_bimix.fcs,4.70E5,100,50.0,50.0,0,
flowmop_C053_5050_segment.fcs,4.48E5,97.9,48.9,51.1,0,
flowmop_A31_6535_bimix.fcs,1.61E6,93.0,63.5,36.5,0,
flowmop_A051_2080_bimix.fcs,6.58E5,67.6,1.80E?3,100.0,0,
flowmop_A053_6535_bimix.fcs,322418,72.1,81.7,18.3,0,
flowmop_A053_6535_segment.fcs,382595,63.5,100,0,0,
flowmop_A0513_404020_trimix.fcs,6.22E5,73.1,52.6,46.2,1.20,
flowmop_A0531_202060_trimix.fcs,9.38E5,73.1,12.4,8.16,79.5,
flowmop_B31_8020_bimix.fcs,2.53E6,86.3,85.2,14.8,0,
flowmop_B31_8020_segment.fcs,2.49E6,54.7,100,0,0,
flowmop_B051_6535_bimix.fcs,352217,86.9,71.5,28.5,0,
flowmop_B051_6535_segment.fcs,352245,62.5,98.3,1.65,0,
flowmop_doublets_1.fcs,1.01E6,,,,,
flowmop_doublets_2.fcs,5.76E5,,,,,
flowmop_doublets_3.fcs,261571,,,,,
flowmop_doublet_4.fcs,5.43E5,,,,,
flowmop_debris_2.fcs,68166,,,,,
flowmop_debris_3.fcs,60375,,,,,
flowmop_debris_1.fcs,58126,,,,,
Mean,8.01E5,,,,,
SD,6.31E5,,,,,
