,1 | Freq. of Parent (%),2 | Freq. of Parent (%),
debris_2_null_debris_groupwise.fcs,38.4,61.6,
debris_2_null_debris_samplewise.fcs,37.4,62.6,
debris_3_null_debris_groupwise.fcs,40.5,59.5,
debris_3_null_debris_samplewise.fcs,40.3,59.7,
debris_1_null_debris_groupwise.fcs,37.3,62.7,
debris_1_null_debris_samplewise.fcs,36.9,63.1,
debris_2_FMW_groupwise.fcs,31.8,68.2,
debris_2_FMW_samplewise.fcs,31.9,68.1,
debris_3_FMW_groupwise.fcs,34.3,65.7,
debris_3_FMW_samplewise.fcs,34.6,65.4,
debris_1_FMW_groupwise.fcs,32.5,67.5,
debris_1_FMW_samplewise.fcs,32.5,67.5,
debris_2_NR_groupwise.fcs,27.4,72.6,
debris_2_NR_samplewise.fcs,26.8,73.2,
debris_3_NR_groupwise.fcs,29.0,71.0,
debris_3_NR_samplewise.fcs,28.6,71.4,
debris_1_NR_groupwise.fcs,26.7,73.3,
debris_1_NR_samplewise.fcs,26.5,73.5,
debris_2_Debris_SC_samplewise.fcs,38.2,61.8,
debris_3_Debris_SC_groupwise.fcs,40.9,59.1,
debris_3_Debris_SC_samplewise.fcs,41.7,58.3,
debris_1_Debris_SC_groupwise.fcs,37.5,62.5,
debris_1_Debris_SC_samplewise.fcs,37.4,62.6,
debris_2_Debris_SC_groupwise.fcs,38.8,61.2,
Mean,34.5,65.5,
SD,4.98,4.98,
